price,barcode,name
22.00,2017626659121,قوانطي طبي
12.00,2016106223333,طبق اكل صغير
15.00,2016441699299,حافظة تركيه 250 مل
20.00,2017617400787,حافظة تركيه 500 مل
24.00,2011251258056,حافظة تركيه 750 مل
25.00,2002516613055,حافظة تركيه 1000 مل
10.00,2194271160971,قوانطي طبي اسود
90.00,5023276015245,فحم حجري المدينه
9.00,2016787806269,كمامات
155.00,5410076768646,صابون اريال باكو 110 جرام
255.00,6251007002694,معقم هاجين علاق
70.00,2001017130023,اقراص اريال 40 حبه
160.00,5601028020671,مناديل ملونه رينوفا
36.00,8692264000036,مناديل جيب نوفيلا
108.00,8698804644548,جورب رجال GZN
350.00,6241001030540,كحول طبيه 150 مل
90.00,2016955489997,ليفة بلاستك ملونه ثلاثيه
28.00,6240000020118,صابون واش باكو 120 جرام
18.00,2127712828222,صابون جوري باكو 120 جرام
65.00,8697924595396,قطن توب فريش
84.00,6224008162636,مناديل مواسم باكو 200
72.00,8690546430014,معطر حمام ايرنت 60 جرام
120.00,8908002099157,رائحة فم
60.00,8692264000074,مناديل معطره نوفيلا 70
240.00,8435014369065,كيس قمامه ازرق 35 لتر
360.00,6240000003029,حافظة الياقوت مربعه 13 لتر
90.00,6192011813350,قطن ليلاس موف
100.00,6192011813343,قطن ليلاس سوبر ازرق
120.00,6130601007109,صابون اومو كيس 300 جرام
96.00,6251001217605,مناديل فاين سحب 400
120.00,8683130020357,مزيل ريكسونا بخ 150 مل الاصلي
189.00,8435014369072,كيس قمامه بنفسجي 60 لتر
85.00,8690511191308,صابون سائل اواني 750 مل abc
80.00,6240000603083,مناديل طيبه 40*40
20.00,6952925701217,بطاريات سوبست اصبع
20.00,6952925701248,بطاريات سوبست ريموت
80.00,887930951042,باطريات كودرا اصبع
50.00,8838000256392,مناديل كلينكس كيس
80.00,6949777608863,عود ادن خشبي مربع 200 ق
55.00,8683200024155,مناديل الاسرة كيس 400
80.00,6224008162759,مناديل مواسم باكو 300 ط
75.00,6251001246667,منديل فاين سحب 550
270.00,8435014369089,كيس قمامه 120 لتر اصفر
32.00,2002192854377,كيس رفع متوسط
25.00,8006540562420,صابون اقراص اريال 15 حبه
25.00,30,مزيل تكلسات غسالة ملابس
105.00,6240000603212,مناديل رول حمام طيبه
45.00,62102700010102,جورب السماح نص
20.00,8006540116968,اريال اقراص 13 حبة
40.00,6240000653941,صابون سائل اونو 600 مل
36.00,6948481818117,عيدان اسنان بامبو
45.00,6932759382981,معجون و فرشة اطفال
120.00,6291108952689,مزيل راقي فرنسي
120.00,6291108952788,مزيل راقي فرنسي
125.00,6253809482421,منظف بروفكس اردني بعطر البودرة
48.00,6983456224975,فرشاة اسنان طبيه
120.00,5283002603805,مزيل بقع السجاد تاب 650 مل
80.00,6192477621575,صابون سائل اواني ليلاس 1 لتر
84.00,6192000718550,صابون سائل يدين لايف بوي تونسي 200 مل
55.00,6192477621858,صابون سائل اواني ليلاس 580 مل
50.00,8697040104861,شامبو اليسيا
45.00,6971667860297,السفنجه السحريه 3 قطع
32.00,6217854554441,ليفة حرشة اكورد
65.00,6192011810137,مناديل ليلاس زوجيه
108.00,6253014601501,معطر جهينه شديد التركيز
72.00,6192011813886,مناديل ليلاس حمام
84.00,6229503183698,مكنسة بالما
84.00,6222001400618,مكنسة لوتس
216.00,8001090125620,معجون كرست معالج ابيض
600.00,6972831216766,ماكينة حلاقة 1703
65.00,8712581546649,بطاريات فيلبس اصبع
72.00,6240000653095,اونو اثاث 460 مل
660.00,6925593890019,ماكينة حلاقة داي لونق 9001
600.00,6972831217039,ماكينة حلاقة 1703
48.00,6959606510526,فرشة اسنان طبيه
60.00,6001106110185,مناديل معطر ديتول
42.00,6240000603151,مناديل طيبه 400
48.00,887930953329,باطريات كودرا ريموت
85.00,8690530274112,مناديل سولو ميقا
55.00,6240000653842,ملمع اثاث اونو 300 مل
72.00,8697441223246,مكنسة حرشة امواج بحر
216.00,8411322234035,ملمع ثريات
80.00,6920354821660,معجون اسنان جولجيت 75 مل مستخلص اعشاب
35.00,6926370665882,نشاف 4 قطع
120.00,6253504113415,معطر ومنظف لاميس 1 لتر
48.00,8698863440372,عيدان ودنين كومفرت 200
48.00,8698898461632,صابون سائل يدين لاكوست
45.00,8698898461663,ملمع زجاج لاكوست
35.00,8698898461519,صابون سائل اماعين لاكوست
55.00,8698898461625,شامبو جسم لاكوست 700 مل
72.00,8691378531276,ملمع اثاث تركي 400 مل
66.00,663234052339,معجون اسنان ابان اقصي حمايه 75 جرام
35.00,6192310600156,ليفة شرائح 10 قطع جوري
24.00,8697713821293,وركينه بيروس 1 لتر
60.00,6928343009037,فرشة اسنان يبانيه كحله
36.00,8904316400474,عود ند شهد عسل
24.00,6970259791025,عيدان ودنين خشب صغيرة
36.00,6224010717015,بودرة فيتوكس
48.00,6999202105276,منشف تلميع 276
48.00,6972609878134,منشف تلميع 53501
55.00,8052679300143,مبمع زجاج ايطالي 750 مل
25.00,6930984909997,فرشة اسنان كاولا
35.00,6948122308625,فرشة اسنان كوبر
120.00,6253504112197,صابون طوري كيس 500 جرام
36.00,8680998401014,عيدان ادن بامبينو 100
65.00,7891024133774,معجون اسنان جولجيت اعشاب 125 مل
48.00,6971667826804,فرشة اسنان اورال
60.00,6240001000225,زير زهر زجاج
72.00,6224008668060,مطهر فريدا هوم 480 مل
35.00,6944375501158,نشاف مخده 4*1
